Pool,Protocol,Network,TVL (mm),15-day Fees APR,1 day farming APR,Total APR,Projected 1yr - Impermanent loss,Assets price change,Risk factor,Data Validation,Net Yield
WBTC / ibBTC,sushiswap,ethereum,36.4,0.33%,1.11%,1.44%,0.0%,22.13%,0.0%,1.00,23.57%
WBTC/BNT,Bancor,ethereum,352.3,0.84%,0.0%,0.84%,-1.5%,21.52%,5.0%,0.00,20.85%
WBTC/USDC,Uniswap-v3,ethereum,61.1,24.42%,0.0%,24.42%,-5.55%,9.63%,0.0%,0.00,28.5%
WBTC/USDT,Uniswap-v3,ethereum,24.1,41.98%,0.0%,41.98%,-6.09%,9.63%,0.0%,0.00,45.51%
WBTC/WETH,Uniswap-v3,ethereum,68.0,22.18%,0.0%,22.18%,-1.83%,22.13%,0.0%,0.00,42.47%
WBTC/WETH,Uniswap-v3,ethereum,271.9,9.77%,0.0%,9.77%,-1.96%,22.13%,0.0%,0.00,29.94%
WETH/USDT,Uniswap-v3,ethereum,23.2,73.11%,0.0%,73.11%,-8.19%,12.5%,0.0%,0.00,77.42%
WETH/USDT,Uniswap-v3,ethereum,140.3,30.02%,0.0%,30.02%,-7.99%,12.5%,0.0%,0.00,34.54%
WISE / ETH,uniswap-v2,ethereum,335.9,0.04%,0.0%,0.04%,0.0%,25.0%,0.0%,1.00,25.04%
WMATIC / ETH,quickswap,polygon,75.2,10.03%,0.0%,10.03%,-3.6%,21.6%,5.0%,0.00,28.03%
WMATIC / USDC,quickswap,polygon,23.4,33.57%,0.0%,33.57%,-11.79%,9.1%,5.0%,0.00,30.88%
WNXM/BNT,Bancor,ethereum,11.0,13.58%,0.0%,13.58%,0.0%,24.39%,0.0%,1.00,37.98%
WOO/BNT,Bancor,ethereum,11.5,11.36%,0.0%,11.36%,-28.77%,13.74%,0.0%,1.00,-3.67%
WXT/BNT,Bancor,ethereum,0.8,1.38%,0.0%,1.38%,0.0%,24.39%,5.0%,1.00,25.77%
XSUSHI/BNT,Bancor,ethereum,0.9,0.74%,0.0%,0.74%,0.0%,24.39%,0.0%,1.00,25.13%
YFI / ETH,sushiswap,ethereum,187.0,2.09%,3.88%,5.97%,-3.11%,20.94%,2.5%,0.00,23.81%
YFI/BNT,Bancor,ethereum,13.1,1.36%,0.0%,1.36%,-2.31%,20.34%,7.5%,0.00,19.39%
ZCN/BNT,Bancor,ethereum,6.8,0.75%,0.0%,0.75%,0.0%,24.39%,0.0%,1.00,25.15%
alUSD Curve,curve,ethereum,478.3,0.04%,4.41%,4.44%,0.0%,25.0%,0.0%,1.00,29.44%
ankrETH Curve,curve,ethereum,95.0,0.17%,0.29%,0.46%,0.0%,25.0%,0.0%,1.00,25.46%
renBTC Curve,curve,ethereum,633.9,0.36%,0.48%,0.84%,0.0%,19.25%,0.0%,0.00,20.09%
renBTC Curve,curve,polygon,48.7,0.26%,0.14%,0.39%,0.0%,19.25%,0.0%,0.00,19.64%
sBTC Curve,curve,ethereum,649.3,0.23%,3.64%,3.87%,0.0%,22.13%,0.0%,1.00,26.0%
sETH Curve,curve,ethereum,479.2,0.17%,0.46%,0.63%,0.0%,25.0%,0.0%,1.00,25.63%
sUSD Curve,curve,ethereum,106.0,1.41%,2.84%,4.25%,0.0%,6.25%,0.0%,1.00,10.5%
stETH Curve,curve,ethereum,4458.7,0.05%,0.07%,0.11%,0.0%,25.0%,0.0%,1.00,25.11%
xSUSHI / ETH,sushiswap,ethereum,57.1,2.95%,4.95%,7.90%,0.0%,25.0%,0.0%,1.00,32.9%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
,,,,,,,,,,,0.0%
